Temporada,Janela Flutuante,Acurácia média de todas,Acurácia
Média/Desvio Padrão,128-1,,"Média: 0.81, Desvio Padrão: 0.00"
2008-2009,8-2,0.717391304347826,
2009-2010,8-2,0.6623376623376623,
2011-2012,8-2,0.6845238095238095,
2012-2013,8-2,0.6432748538011696,
2013-2014,8-2,0.5909090909090909,
2014-2015,8-2,0.60431654676259,
2015-2016,8-2,0.5685483870967742,
2016-2017,8-2,0.5992063492063492,
2018-2019,8-2,0.6095238095238096,
2019-2020,8-2,0.535,
2020-2021,8-2,0.6666666666666666,
2021-2022,8-2,0.6621621621621622,
2022-2023,8-2,0.618421052631579,
2023-2024,8-2,0.6507936507936508,
Média/Desvio Padrão,8-2,,"Média: 0.65, Desvio Padrão: 0.00"
2008-2009,16-2,0.7342342342342343,
2009-2010,16-2,0.6506849315068494,
2011-2012,16-2,0.7125,
2012-2013,16-2,0.6467065868263473,
2013-2014,16-2,0.6133333333333333,
2014-2015,16-2,0.6259259259259259,
2015-2016,16-2,0.6291666666666667,
2016-2017,16-2,0.5942622950819673,
2018-2019,16-2,0.6485148514851485,
2019-2020,16-2,0.6354166666666666,
2020-2021,16-2,0.668,
2021-2022,16-2,0.6944444444444444,
2022-2023,16-2,0.6418918918918919,
2023-2024,16-2,0.6783783783783783,
Média/Desvio Padrão,16-2,,"Média: 0.68, Desvio Padrão: 0.00"
2008-2009,32-2,0.7572815533980582,
2009-2010,32-2,0.6846153846153846,
2011-2012,32-2,0.7222222222222222,
2012-2013,32-2,0.6729559748427673,
2013-2014,32-2,0.6584507042253521,
2014-2015,32-2,0.6889763779527559,
2015-2016,32-2,0.6919642857142857,
2016-2017,32-2,0.6052631578947368,
2018-2019,32-2,0.7043010752688172,
2019-2020,32-2,0.6079545454545454,
2020-2021,32-2,0.7222222222222222,
2021-2022,32-2,0.7205882352941176,
2022-2023,32-2,0.6571428571428571,
2023-2024,32-2,0.7203389830508474,
Média/Desvio Padrão,32-2,,"Média: 0.72, Desvio Padrão: 0.00"
2008-2009,64-2,0.8103448275862069,
2009-2010,64-2,0.673469387755102,
2011-2012,64-2,0.7589285714285714,
2012-2013,64-2,0.7377622377622378,
2013-2014,64-2,0.6904761904761905,
2014-2015,64-2,0.7117117117117117,
2015-2016,64-2,0.7239583333333334,
2016-2017,64-2,0.7142857142857143,
2018-2019,64-2,0.7597402597402597,
2019-2020,64-2,0.6944444444444444,
2020-2021,64-2,0.698019801980198,
2021-2022,64-2,0.775,
2022-2023,64-2,0.7137096774193549,
2023-2024,64-2,0.7422360248447205,
Média/Desvio Padrão,64-2,,"Média: 0.74, Desvio Padrão: 0.00"
2008-2009,128-2,0.8454545454545455,
2009-2010,128-2,0.7058823529411765,
2011-2012,128-2,0.8541666666666666,
2012-2013,128-2,0.7927927927927928,
2013-2014,128-2,0.7606382978723404,
2014-2015,128-2,0.7911392405063291,
2015-2016,128-2,0.7265625,
2016-2017,128-2,0.7803030303030303,
2018-2019,128-2,0.7666666666666667,
2019-2020,128-2,0.8,
2020-2021,128-2,0.7898550724637681,
2021-2022,128-2,0.8068181818181818,
2022-2023,128-2,0.7934782608695652,
2023-2024,128-2,0.813953488372093,
Média/Desvio Padrão,128-2,,"Média: 0.81, Desvio Padrão: 0.00"
2008-2009,8-3,0.7012987012987013,
2009-2010,8-3,0.6602564102564104,
2011-2012,8-3,0.7023809523809524,
2012-2013,8-3,0.631578947368421,
2013-2014,8-3,0.6067961165048543,
2014-2015,8-3,0.5842293906810035,
2015-2016,8-3,0.570281124497992,
2016-2017,8-3,0.5753968253968254,
2018-2019,8-3,0.6285714285714286,
2019-2020,8-3,0.5174129353233831,
2020-2021,8-3,0.6782945736434108,
2021-2022,8-3,0.6178451178451179,
2022-2023,8-3,0.6176470588235294,
2023-2024,8-3,0.6243386243386243,
Média/Desvio Padrão,8-3,,"Média: 0.62, Desvio Padrão: 0.00"
2008-2009,16-3,0.722972972972973,
2009-2010,16-3,0.6768707482993197,
2011-2012,16-3,0.6975308641975309,
2012-2013,16-3,0.6458333333333333,
2013-2014,16-3,0.6233333333333333,
2014-2015,16-3,0.6148148148148148,
2015-2016,16-3,0.6354166666666666,
2016-2017,16-3,0.5975609756097561,
2018-2019,16-3,0.6470588235294118,
2019-2020,16-3,0.6380208333333333,
2020-2021,16-3,0.6746031746031745,
2021-2022,16-3,0.7048611111111112,
2022-2023,16-3,0.6599326599326599,
2023-2024,16-3,0.6854838709677419,
Média/Desvio Padrão,16-3,,"Média: 0.69, Desvio Padrão: 0.00"
2008-2009,32-3,0.7729468599033816,
2009-2010,32-3,0.6742424242424242,
2011-2012,32-3,0.7222222222222222,
2012-2013,32-3,0.6792452830188679,
2013-2014,32-3,0.6578947368421053,
2014-2015,32-3,0.6823529411764706,
2015-2016,32-3,0.6888888888888889,
2016-2017,32-3,0.587719298245614,
2018-2019,32-3,0.7311827956989246,
2019-2020,32-3,0.5988700564971751,
2020-2021,32-3,0.7222222222222222,
2021-2022,32-3,0.7124542124542124,
2022-2023,32-3,0.6595744680851063,
2023-2024,32-3,0.711864406779661,
Média/Desvio Padrão,32-3,,"Média: 0.71, Desvio Padrão: 0.00"
2008-2009,64-3,0.8017241379310345,
2009-2010,64-3,0.6717171717171716,
2011-2012,64-3,0.7719298245614035,
2012-2013,64-3,0.7395833333333334,
2013-2014,64-3,0.6904761904761905,
2014-2015,64-3,0.7252252252252251,
2015-2016,64-3,0.7291666666666666,
2016-2017,64-3,0.7171717171717171,
2018-2019,64-3,0.75,
2019-2020,64-3,0.6944444444444445,
2020-2021,64-3,0.7107843137254901,
2021-2022,64-3,0.7625,
2022-2023,64-3,0.7188755020080321,
2023-2024,64-3,0.75,
Média/Desvio Padrão,64-3,,"Média: 0.75, Desvio Padrão: 0.00"
2008-2009,128-3,0.8378378378378378,
2009-2010,128-3,0.6666666666666666,
2011-2012,128-3,0.8541666666666666,
2012-2013,128-3,0.8063063063063063,
2013-2014,128-3,0.7830687830687831,
2014-2015,128-3,0.7987421383647799,
2015-2016,128-3,0.7364341085271318,
2016-2017,128-3,0.7651515151515151,
2018-2019,128-3,0.7555555555555556,
2019-2020,128-3,0.7901234567901234,
2020-2021,128-3,0.8188405797101449,
2021-2022,128-3,0.7994350282485875,
2022-2023,128-3,0.8064516129032258,
2023-2024,128-3,0.813953488372093,
Média/Desvio Padrão,128-3,,"Média: 0.81, Desvio Padrão: 0.00"
2008-2009,8-4,0.6853448275862069,
2009-2010,8-4,0.6602564102564102,
2011-2012,8-4,0.7083333333333334,
2012-2013,8-4,0.6627906976744186,
2013-2014,8-4,0.6071428571428571,
2014-2015,8-4,0.6,
2015-2016,8-4,0.5846774193548387,
2016-2017,8-4,0.5912698412698413,
2018-2019,8-4,0.6037735849056604,
2019-2020,8-4,0.5566666666666666,
2020-2021,8-4,0.6692307692307692,
2021-2022,8-4,0.6452702702702703,
2022-2023,8-4,0.6052631578947368,
2023-2024,8-4,0.65,
Média/Desvio Padrão,8-4,,"Média: 0.65, Desvio Padrão: 0.00"
